Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S2,2017.09.27,8,2,D,D,1,0,No Hint,Unknown,1,0,bl,0.25,16.31667,4006,4,1,FALSE,0,3,1,1,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,13,4,C,A,1,0,No Hint,Unknown,bl,bl,bl,2,30.05,4006,4,1,FALSE,0,3,3,2,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,14,4,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.6,30.65,4006,4,1,FALSE,0,3,2,0,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,15,4,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.5,31.15,4006,4,1,FALSE,0,3,0,3,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,16,4,D,D,1,0,No Hint,Unknown,1,0,bl,0.2666667,31.41667,4006,4,1,FALSE,0,3,1,1,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,30,9,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.4,65.4,4006,4,1,FALSE,0,3,2,1,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,31,9,A,B,1,0,No Hint,Unknown,bl,bl,bl,1.116667,66.51667,4006,4,1,FALSE,0,3,1,4,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,32,9,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.3,66.81667,4006,4,1,FALSE,0,3,4,2,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,33,9,D,D,1,0,No Hint,Unknown,1,0,bl,0.3166667,67.13333,4006,4,1,FALSE,0,3,0,0,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,34,10,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.1,72.13333,4006,4,1,FALSE,0,3,1,3,4006.03,,80,3,2,1,Testing,CADB,Crossed
S2,2017.09.27,35,10,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.3166667,72.45,4006,4,1,FALSE,0,3,3,5,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,36,10,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3,72.75,4006,4,1,FALSE,0,3,4,1,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,37,10,B,D,1,0,No Hint,Unknown,1,0,bl,2.916667,75.66667,4006,4,1,FALSE,0,3,5,4,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,38,11,C,A,1,0,No Hint,Unknown,bl,bl,bl,4.116667,83.61667,4006,4,1,FALSE,0,3,0,3,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,39,11,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.9666667,84.58333,4006,4,1,FALSE,0,3,3,1,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,40,11,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.8666667,85.45,4006,4,1,FALSE,0,3,1,0,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,41,11,D,D,1,0,No Hint,Unknown,1,0,bl,0.65,86.1,4006,4,1,FALSE,0,3,5,5,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,46,13,C,A,1,0,No Hint,Unknown,bl,bl,bl,2.083333,99.86667,4006,4,1,FALSE,0,3,2,0,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
